query_frame_count,time_s,decision,seconds_since_previous_fix,position_error_m,is_good_fix,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_inlier_count,lg_inlier_ratio,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count
1,0.0,FIX,,7.705727126850735,True,1,0.9972053170204163,839,0.9988095238095238,v13,24879
31,1.0,FIX,1.0,10.584161668384652,True,1,0.9946855902671814,793,0.9924906132665833,v13,24879
61,2.001,FIX,1.001,13.147461137161068,True,1,0.9943768382072449,716,0.9808219178082191,v13,24879
91,3.002,FIX,1.001,19.438987817045273,True,1,0.9918917417526245,590,0.9500805152979066,v13,24879
121,4.003,FIX,1.0010000000000003,29.02566558608148,False,1,0.9891085028648376,431,0.8795918367346939,v13,24879
151,5.004,FIX,1.0009999999999994,39.15886616700602,False,5,0.9838136434555054,332,0.8197530864197531,v13,24789
181,6.005,NO_FIX,,49.43162548324295,False,2,0.978141725063324,276,0.8313253012048193,v13,24879
211,7.006,NO_FIX,,60.0659577744013,False,1,0.9718238115310669,212,0.7335640138408305,v13,24879
241,8.007,NO_FIX,,70.69131326988175,False,2,0.9630832672119141,158,0.7214611872146118,v13,24669
271,9.008,NO_FIX,,31.730990659187633,False,4,0.9575768709182739,39,0.319672131147541,v12,2369
301,10.008,NO_FIX,,38.55713410286585,False,6,0.9572170376777649,190,0.9313725490196079,v13,9143
331,11.009,NO_FIX,,44.78798566245024,False,3,0.9539811015129089,140,0.8484848484848485,v13,9143
361,12.01,NO_FIX,,42.34023029399216,False,5,0.9565342664718628,6,0.18181818181818182,v11,24879
391,13.011,NO_FIX,,27.133581376851403,False,3,0.958627462387085,10,0.2,v11,23979
421,14.012,NO_FIX,,72.52897490122302,False,1,0.9626488089561462,142,0.42771084337349397,v13,9472
451,15.013,NO_FIX,,66.73133230721899,False,1,0.9679229259490967,163,0.4527777777777778,v13,9472
481,16.014,NO_FIX,,41.882284330666266,False,4,0.9662127494812012,218,0.4678111587982833,v13,9502
511,17.015,NO_FIX,,35.88977633347665,False,2,0.9710983633995056,253,0.48936170212765956,v13,9502
541,18.016,NO_FIX,,13.030109310469735,False,5,0.9703958034515381,279,0.544921875,v13,9532
570,18.983,NO_FIX,,0.4588585730509361,False,6,0.9730797410011292,285,0.5287569573283859,v13,9562
600,19.984,NO_FIX,,13.267476399161204,False,5,0.9786436557769775,322,0.6204238921001927,v13,9622
630,20.985,NO_FIX,,13.674093695306125,False,3,0.9790806770324707,375,0.6756756756756757,v13,9622
660,21.986,FIX,16.982,15.733289249367191,True,1,0.9899565577507019,426,0.6772655007949125,v13,9652
690,22.987,FIX,1.0009999999999977,13.574562289069712,True,2,0.9918641448020935,541,0.84399375975039,v13,9682
720,23.988,FIX,1.0010000000000012,20.41668706999219,False,3,0.9815097451210022,575,0.9319286871961102,v13,9712
750,24.989,FIX,1.0010000000000012,26.281191560732157,False,3,0.9848674535751343,549,0.8784,v13,9712
780,25.989,FIX,1.0,34.575479111851564,False,3,0.9813786149024963,444,0.7721739130434783,v13,9712
